pilot|esco_occ_code|technology|tech_skill|affinity_score|occ_match|level1_strategy|tech_skill_id
K|1321.2.3|DPP Model|Strategic integration|0.2594|secondary candidate|new hire|DPP Model_Strategic integration
K|1324.8|DPP Model|Strategic integration|0.2464|secondary candidate|new hire|DPP Model_Strategic integration
K|1324.3|DPP Model|Strategic integration|0.2375|secondary candidate|new hire|DPP Model_Strategic integration
K|1321.2.1|DPP Model|Strategic integration|0.2298|secondary candidate|new hire|DPP Model_Strategic integration
K|1321.2.3|DPP Model|sustainability compliance|0.2219|secondary candidate|new hire|DPP Model_sustainability compliance
K|1321.2.2|DPP Model|sustainability compliance|0.2143|secondary candidate|new hire|DPP Model_sustainability compliance
K|1321.2.1|DPP Model|sustainability compliance|0.2107|secondary candidate|new hire|DPP Model_sustainability compliance
K|2141.4|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2447|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
K|2144.1.3|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.226|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
K|3119.2|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2206|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
K|2144.1.5|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2184|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
K|3119.14|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2165|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
K|2144.1.22|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2136|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
K|3119.8|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2112|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
K|3119.15|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2087|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
K|7224.2|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2031|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
K|3122.4.8|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.2345|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|2141.10|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.2335|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|3119.14|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.2276|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|3119.8|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.2255|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|3122.4.14|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.2239|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|3119.16|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.221|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|2141.4|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.22|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|3119.15|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.2191|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|2144.1.3|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.2171|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|2144.1.22|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.2076|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|3119.2|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.2065|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|2521.4|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.2062|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|2144.1.11|Function-oriented assembly|Evaluate and verify parameters and adjust settings|0.2055|secondary candidate|new hire|Function-oriented assembly_Evaluate and verify parameters and adjust settings
K|2141.4|Function-oriented assembly|Optimization and scheduling|0.2238|secondary candidate|new hire|Function-oriented assembly_Optimization and scheduling
K|2521.4|Function-oriented assembly|System integration|0.2044|secondary candidate|new hire|Function-oriented assembly_System integration
K|7224.2|Hybrid disassembly|Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level|0.219|secondary candidate|new hire|Hybrid disassembly_Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level
K|4322.1|Hybrid disassembly|Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level|0.2099|secondary candidate|new hire|Hybrid disassembly_Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level
