tech_skill_id,esco_skill_uri,similarity,state
DPP Model_Process optimization,http://data.europa.eu/esco/skill/3786b61f-f22e-48d1-af8d-ad4c354534db,0.5756,adjacent
"DPP Model_System administration, data security, operational continuity",http://data.europa.eu/esco/skill/ec85cc63-4e24-4631-bf92-8789db2605c0,0.5749,adjacent
Hybrid disassembly_Which disassembled components to recycle/scrap/collect,http://data.europa.eu/esco/skill/db3c8181-31b4-4950-bf0b-de01f93c372b,0.5744,adjacent
DPP Model_Process optimization,http://data.europa.eu/esco/skill/7d0f33ea-e724-4d77-8b75-ee4fe66bb9ba,0.5722,adjacent
Cold spray_assess surface condition,http://data.europa.eu/esco/skill/a93011ca-e6ab-4182-8a05-4d4b282cff27,0.5678,adjacent
Cold spray_Waste management,http://data.europa.eu/esco/skill/82b14cde-76e7-4d4b-b564-c45c014f3ce4,0.5677,adjacent
Hybrid disassembly_Knowledge of emergency safety routines,http://data.europa.eu/esco/skill/499c05a2-6f36-4407-83c1-dc3448d35818,0.5672,adjacent
Cold spray_Quality control basics,http://data.europa.eu/esco/skill/c7cc6dc5-d56b-4323-8e5c-47c4022f615f,0.5667,adjacent
DPP Model_sustainability compliance,http://data.europa.eu/esco/skill/103f7814-d262-4df6-a1b6-759bc51f76cb,0.5644,adjacent
DPP Model_Problem-solving,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,0.5626,adjacent
Cold spray_PPE and Hazard awareness,http://data.europa.eu/esco/skill/f2f463e5-2382-49cb-8199-e7e043d868df,0.5584,adjacent
Cold spray_Quality control basics,http://data.europa.eu/esco/skill/8d4271ca-c9fd-40b3-875f-15f78332a49e,0.5547,adjacent
Function-oriented assembly_System integration,http://data.europa.eu/esco/skill/ed8de897-adbe-4f0e-b4d2-534953e64c72,0.5534,adjacent
Function-oriented assembly_Ability to operate both virtual and physical assembly environments,http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,0.5517,adjacent
